"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"212","Melanocytes",3,"Scramble","No_SDF1",1,"HOUR_18",314205
"213","Melanocytes",3,"Scramble","No_SDF1",2,"HOUR_0",661048
"214","Melanocytes",3,"Scramble","No_SDF1",2,"HOUR_5",546067
"215","Melanocytes",3,"Scramble","No_SDF1",2,"HOUR_8",441740
"216","Melanocytes",3,"Scramble","No_SDF1",2,"HOUR_18",359499
"217","Melanocytes",3,"Scramble","No_SDF1",3,"HOUR_0",595818
"218","Melanocytes",3,"Scramble","No_SDF1",3,"HOUR_5",402223
"219","Melanocytes",3,"Scramble","No_SDF1",3,"HOUR_8",376107
"220","Melanocytes",3,"Scramble","No_SDF1",3,"HOUR_18",260707
"221","Melanocytes",3,"Scramble","No_SDF1",4,"HOUR_0",677107
"222","Melanocytes",3,"Scramble","No_SDF1",4,"HOUR_5",592628
"223","Melanocytes",3,"Scramble","No_SDF1",4,"HOUR_8",493660
"224","Melanocytes",3,"Scramble","No_SDF1",4,"HOUR_18",399061
"225","Melanocytes",3,"CXCR7_siRNA","No_SDF1",1,"HOUR_0",635181
"226","Melanocytes",3,"CXCR7_siRNA","No_SDF1",1,"HOUR_5",492186
"227","Melanocytes",3,"CXCR7_siRNA","No_SDF1",1,"HOUR_8",448558
"228","Melanocytes",3,"CXCR7_siRNA","No_SDF1",1,"HOUR_18",215020
"229","Melanocytes",3,"CXCR7_siRNA","No_SDF1",2,"HOUR_0",710993
"230","Melanocytes",3,"CXCR7_siRNA","No_SDF1",2,"HOUR_5",640172
"231","Melanocytes",3,"CXCR7_siRNA","No_SDF1",2,"HOUR_8",482633
"232","Melanocytes",3,"CXCR7_siRNA","No_SDF1",2,"HOUR_18",192785
"233","Melanocytes",3,"CXCR7_siRNA","No_SDF1",3,"HOUR_0",659246
"234","Melanocytes",3,"CXCR7_siRNA","No_SDF1",3,"HOUR_5",573785
"235","Melanocytes",3,"CXCR7_siRNA","No_SDF1",3,"HOUR_8",499489
"236","Melanocytes",3,"CXCR7_siRNA","No_SDF1",3,"HOUR_18",221854
"237","Melanocytes",3,"CXCR7_siRNA","No_SDF1",4,"HOUR_0",624517
"238","Melanocytes",3,"CXCR7_siRNA","No_SDF1",4,"HOUR_5",546095
"239","Melanocytes",3,"CXCR7_siRNA","No_SDF1",4,"HOUR_8",426412
"240","Melanocytes",3,"CXCR7_siRNA","No_SDF1",4,"HOUR_18",299582
"241","Melanocytes",3,"Unstransfected","SDF1",1,"HOUR_0",653074
"242","Melanocytes",3,"Unstransfected","SDF1",1,"HOUR_5",575735
"243","Melanocytes",3,"Unstransfected","SDF1",1,"HOUR_8",418408
"244","Melanocytes",3,"Unstransfected","SDF1",1,"HOUR_18",355055
"245","Melanocytes",3,"Unstransfected","SDF1",2,"HOUR_0",661684
"246","Melanocytes",3,"Unstransfected","SDF1",2,"HOUR_5",592218
"247","Melanocytes",3,"Unstransfected","SDF1",2,"HOUR_8",519348
"248","Melanocytes",3,"Unstransfected","SDF1",2,"HOUR_18",327274
"249","Melanocytes",3,"Unstransfected","SDF1",3,"HOUR_0",684533
"250","Melanocytes",3,"Unstransfected","SDF1",3,"HOUR_5",653177
"251","Melanocytes",3,"Unstransfected","SDF1",3,"HOUR_8",565106
"252","Melanocytes",3,"Unstransfected","SDF1",3,"HOUR_18",423808
"253","Melanocytes",3,"Unstransfected","SDF1",4,"HOUR_0",745871
"254","Melanocytes",3,"Unstransfected","SDF1",4,"HOUR_5",569345
"255","Melanocytes",3,"Unstransfected","SDF1",4,"HOUR_8",534640
"256","Melanocytes",3,"Unstransfected","SDF1",4,"HOUR_18",362847
"257","Melanocytes",3,"Scramble","SDF1",1,"HOUR_0",661293
"258","Melanocytes",3,"Scramble","SDF1",1,"HOUR_5",518888
"259","Melanocytes",3,"Scramble","SDF1",1,"HOUR_8",418625
"260","Melanocytes",3,"Scramble","SDF1",1,"HOUR_18",242871
