Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,1,Unstransfected,No_SDF1,1,548976,456787,408607,305802
Melanocytes,1,Unstransfected,No_SDF1,2,581063,467817,435548,325425
Melanocytes,1,Unstransfected,No_SDF1,3,589605,513245,396473,329105
Melanocytes,1,Unstransfected,No_SDF1,4,614507,476682,432953,337415
Melanocytes,1,Scramble,No_SDF1,1,569311,443824,405628,341892
Melanocytes,1,Scramble,No_SDF1,2,586390,456315,419083,360551
Melanocytes,1,Scramble,No_SDF1,3,554853,438142,400819,275951
Melanocytes,1,Scramble,No_SDF1,4,555963,431578,413020,290422
Melanocytes,1,CXCR47_siRNA,No_SDF1,1,557839,459990,410153,219548
Melanocytes,1,CXCR47_siRNA,No_SDF1,2,609310,490304,448731,286797
Melanocytes,1,CXCR47_siRNA,No_SDF1,3,567556,454905,432335,261167
Melanocytes,1,CXCR47_siRNA,No_SDF1,4,578027,488574,430605,287918
Melanocytes,1,Unstransfected,SDF1,1,502837,395835,337164,289402
Melanocytes,1,Unstransfected,SDF1,2,506685,442669,412889,356495
Melanocytes,1,Unstransfected,SDF1,3,566392,409510,345495,284947
Melanocytes,1,Unstransfected,SDF1,4,542886,453238,422515,385806
Melanocytes,1,Scramble,SDF1,1,547625,426416,423849,338776
Melanocytes,1,Scramble,SDF1,2,601786,541235,485529,346642
Melanocytes,1,Scramble,SDF1,3,568357,431036,377400,354650
Melanocytes,1,Scramble,SDF1,4,630181,483702,425514,333651
Melanocytes,1,CXCR47_siRNA,SDF1,1,631540,551853,397154,204177
Melanocytes,1,CXCR47_siRNA,SDF1,2,589005,487402,415759,213314
Melanocytes,1,CXCR47_siRNA,SDF1,3,620141,505441,454543,203491
Melanocytes,1,CXCR47_siRNA,SDF1,4,653878,573324,514274,291083
Melanocytes,2,Unstransfected,No_SDF1,1,521489,440980,361224,261941
Melanocytes,2,Unstransfected,No_SDF1,2,545475,450006,396395,295373
Melanocytes,2,Unstransfected,No_SDF1,3,519217,423076,364988,324027
Melanocytes,2,Unstransfected,No_SDF1,4,561969,472222,409603,258433
Melanocytes,2,Scramble,No_SDF1,1,605874,460784,416384,342147
Melanocytes,2,Scramble,No_SDF1,2,653772,501309,475456,342438
Melanocytes,2,Scramble,No_SDF1,3,645937,529284,479729,354972
Melanocytes,2,Scramble,No_SDF1,4,662321,522968,490454,392020
Melanocytes,2,CXCR47_siRNA,No_SDF1,1,552733,398728,329671,243479
Melanocytes,2,CXCR47_siRNA,No_SDF1,2,606440,491378,444358,242396
Melanocytes,2,CXCR47_siRNA,No_SDF1,3,577343,440322,367782,220736
Melanocytes,2,CXCR47_siRNA,No_SDF1,4,601049,435511,388777,286295
Melanocytes,2,Unstransfected,SDF1,1,662867,513393,451096,303890
Melanocytes,2,Unstransfected,SDF1,2,744464,674634,585069,481940
Melanocytes,2,Unstransfected,SDF1,3,687838,545673,495151,307616
Melanocytes,2,Unstransfected,SDF1,4,739589,593514,502824,362046
Melanocytes,2,Scramble,SDF1,1,629416,508833,456595,283657
Melanocytes,2,Scramble,SDF1,2,688314,507462,443018,371829
